urban,geo1_ca2011,age,sex,marst,nativity,citizen,yrsimm,edattain,labforce,occisco,hrswork1,inctot,incearn
rural,ontario,36,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,45 hours,40900,18000
rural,ontario,48,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,34500,33800
urban,british columbia,69,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,15200,0
urban,british columbia,58,male,married/in union,foreign-born,naturalized citizen,33,university completed,"yes, in the labor force",technicians and associate professionals,40 hours,900,0
urban,ontario,26,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",professionals,40 hours,24200,22400
urban,ontario,68,female,widowed,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,70901,1
urban,ontario,53,female,married/in union,foreign-born,naturalized citizen,18,university completed,"yes, in the labor force","legislators, senior officials and managers",50 hours,281700,250200
urban,ontario,16,female,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",service workers and shop and market sales,0 hours,2400,2400
urban,alberta,54,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,2700,0
urban,nova scotia,51,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,37 hours,35100,34800
urban,quebec,73,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,16100,0
rural,ontario,43,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",plant and machine operators and assemblers,44 hours,23400,20100
rural,ontario,72,female,widowed,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,28300,0
urban,alberta,34,female,married/in union,foreign-born,not a citizen,1,secondary completed,"yes, in the labor force",technicians and associate professionals,50 hours,39200,39100
urban,ontario,43,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",plant and machine operators and assemblers,70 hours,73100,72400
urban,ontario,24,female,married/in union,foreign-born,not a citizen,niu (not in universe),university completed,"yes, in the labor force",professionals,40 hours,64300,64300
urban,alberta,36,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,38 hours,35400,34800
urban,ontario,34,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force","legislators, senior officials and managers",40 hours,123900,123900
urban,alberta,15,female,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",clerks,0 hours,700,700
urban,ontario,29,female,single/never married,foreign-born,not a citizen,3,university completed,"yes, in the labor force",technicians and associate professionals,38 hours,67100,51900
urban,quebec,70,male,widowed,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,53300,0
urban,manitoba,19,female,single/never married,foreign-born,not a citizen,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,0 hours,1900,0
urban,ontario,53,male,married/in union,foreign-born,naturalized citizen,8,university completed,"yes, in the labor force",plant and machine operators and assemblers,44 hours,2100,0
rural,alberta,45,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",clerks,25 hours,30000,30000
urban,quebec,70,female,married/in union,foreign-born,naturalized citizen,38,less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,10800,0
urban,quebec,28,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,40 hours,101200,101100
urban,ontario,20,female,single/never married,foreign-born,naturalized citizen,18,secondary completed,"yes, in the labor force",clerks,15 hours,900,0
urban,british columbia,39,male,married/in union,foreign-born,naturalized citizen,8,university completed,"yes, in the labor force",professionals,40 hours,66400,66400
urban,ontario,34,female,married/in union,foreign-born,not a citizen,23,secondary completed,"no, not in the labor force",niu (not in universe),0 hours,3500,0
rural,ontario,43,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,40 hours,71300,71100
urban,quebec,66,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,54600,0
urban,ontario,42,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",niu (not in universe),0 hours,20000,0
urban,quebec,22,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,20600,20000
urban,ontario,43,female,married/in union,foreign-born,not a citizen,3,university completed,"no, not in the labor force",niu (not in universe),0 hours,4300,0
rural,ontario,30,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,33 hours,39300,32600
rural,nova scotia,55,female,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,2900,0
urban,ontario,25,female,single/never married,foreign-born,naturalized citizen,18,university completed,"no, not in the labor force",niu (not in universe),0 hours,4100,0
urban,alberta,32,male,married/in union,foreign-born,naturalized citizen,8,secondary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,34200,33400
urban,nova scotia,27,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,800,0
urban,ontario,16,female,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",technicians and associate professionals,0 hours,3300,3300
urban,ontario,64,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,6900,0
urban,ontario,48,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,13300,0
unknown,prince edward island,17,female,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",service workers and shop and market sales,8 hours,7600,6300
urban,ontario,73,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,21300,0
urban,ontario,35,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",technicians and associate professionals,40 hours,39200,35400
urban,quebec,47,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,35 hours,113400,111100
urban,british columbia,53,female,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",technicians and associate professionals,56 hours,83100,83100
rural,quebec,39,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,10800,400
urban,ontario,67,female,married/in union,foreign-born,naturalized citizen,23,less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,16400,0
urban,alberta,55,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,40 hours,41300,15100
urban,quebec,59,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",elementary occupations,0 hours,12700,0
urban,quebec,39,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",elementary occupations,40 hours,20500,18300
rural,quebec,64,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,58000,0
rural,ontario,42,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",technicians and associate professionals,40 hours,63900,62700
urban,ontario,23,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",plant and machine operators and assemblers,28 hours,20800,20100
urban,quebec,37,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,38 hours,86300,65400
urban,british columbia,63,male,married/in union,foreign-born,naturalized citizen,38,university completed,"no, not in the labor force",niu (not in universe),0 hours,5000,0
rural,quebec,59,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,64200,-400
urban,ontario,23,male,married/in union,foreign-born,naturalized citizen,13,university completed,"yes, in the labor force",service workers and shop and market sales,0 hours,5200,3600
urban,ontario,75,female,widowed,foreign-born,naturalized citizen,41,less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,22900,0
rural,alberta,62,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,48 hours,300,0
urban,ontario,16,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",clerks,0 hours,2400,2400
urban,quebec,30,female,married/in union,foreign-born,not a citizen,13,less than primary completed,"yes, in the labor force",crafts and related trades workers,40 hours,42000,33500
urban,alberta,35,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",technicians and associate professionals,35 hours,58000,56400
urban,british columbia,24,male,single/never married,foreign-born,naturalized citizen,8,secondary completed,"yes, in the labor force",elementary occupations,40 hours,34400,34100
urban,quebec,68,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,10200,0
urban,ontario,26,female,married/in union,foreign-born,not a citizen,8,secondary completed,"no, not in the labor force",niu (not in universe),0 hours,14300,0
urban,british columbia,66,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",service workers and shop and market sales,0 hours,73500,73500
urban,british columbia,49,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",professionals,0 hours,35200,26600
urban,ontario,21,female,single/never married,foreign-born,not a citizen,niu (not in universe),university completed,"yes, in the labor force",crafts and related trades workers,40 hours,12200,10100
urban,quebec,58,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,21 hours,23400,20100
urban,quebec,28,male,married/in union,foreign-born,naturalized citizen,13,less than primary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,22500,14300
rural,quebec,48,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",plant and machine operators and assemblers,0 hours,16600,10100
urban,ontario,24,female,single/never married,foreign-born,naturalized citizen,23,university completed,"yes, in the labor force",technicians and associate professionals,40 hours,23900,21900
urban,quebec,61,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",technicians and associate professionals,0 hours,59000,58700
urban,british columbia,82,male,married/in union,foreign-born,naturalized citizen,13,secondary completed,"no, not in the labor force",niu (not in universe),0 hours,13300,0
urban,quebec,24,female,married/in union,foreign-born,not a citizen,2,secondary completed,"no, not in the labor force",niu (not in universe),0 hours,6000,0
urban,saskatchewan,29,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",clerks,20 hours,44500,44500
rural,quebec,64,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,8400,0
rural,british columbia,46,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",plant and machine operators and assemblers,0 hours,7800,6500
rural,alberta,50,female,married/in union,foreign-born,not a citizen,41,less than primary completed,"yes, in the labor force",technicians and associate professionals,25 hours,19100,16400
urban,ontario,41,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",technicians and associate professionals,35 hours,66700,66000
urban,quebec,28,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",service workers and shop and market sales,35 hours,51900,51900
urban,ontario,44,female,married/in union,foreign-born,naturalized citizen,13,university completed,"yes, in the labor force","legislators, senior officials and managers",5 hours,3200,2200
urban,ontario,38,male,single/never married,foreign-born,not a citizen,18,secondary completed,"no, not in the labor force",niu (not in universe),0 hours,6000,0
urban,quebec,35,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,28 hours,41601,33300
rural,quebec,22,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",service workers and shop and market sales,40 hours,12500,12500
urban,ontario,44,female,married/in union,foreign-born,not a citizen,3,university completed,"yes, in the labor force",professionals,35 hours,56200,54000
rural,quebec,22,male,single/never married,foreign-born,naturalized citizen,5,secondary completed,"no, not in the labor force",skilled agricultural and fishery workers,0 hours,5000,4600
rural,ontario,29,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",plant and machine operators and assemblers,55 hours,45100,44400
urban,ontario,29,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force","legislators, senior officials and managers",50 hours,35000,34000
urban,ontario,62,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",elementary occupations,30 hours,5400,3700
urban,ontario,52,female,married/in union,foreign-born,naturalized citizen,23,secondary completed,"yes, in the labor force","legislators, senior officials and managers",40 hours,21100,21900
urban,alberta,61,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,40 hours,37600,26000
urban,ontario,72,female,married/in union,foreign-born,naturalized citizen,28,less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,12700,0
urban,ontario,39,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",elementary occupations,40 hours,39100,38000
urban,alberta,21,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",service workers and shop and market sales,25 hours,2500,17200
urban,quebec,46,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",plant and machine operators and assemblers,20 hours,31700,31200
urban,british columbia,22,female,separated/divorced/spouse absent,foreign-born,not a citizen,3,less than primary completed,"yes, in the labor force",skilled agricultural and fishery workers,50 hours,42100,38900
urban,ontario,39,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",technicians and associate professionals,40 hours,50800,48800
urban,ontario,46,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force","legislators, senior officials and managers",45 hours,83700,79400
urban,ontario,33,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,4100,0
urban,quebec,17,female,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",service workers and shop and market sales,0 hours,6700,6700
urban,quebec,19,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,12 hours,3500,3500
urban,quebec,44,female,single/never married,foreign-born,naturalized citizen,41,university completed,"yes, in the labor force",professionals,40 hours,8300,6800
rural,quebec,55,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,50 hours,68700,68700
urban,manitoba,62,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,30800,0
urban,new brunswick,24,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,15200,0
urban,quebec,23,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,31200,28500
urban,quebec,31,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",elementary occupations,40 hours,27200,26500
urban,alberta,33,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",elementary occupations,12 hours,16200,13800
urban,ontario,60,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,2000,0
rural,quebec,70,female,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,8900,0
urban,quebec,49,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force","legislators, senior officials and managers",5 hours,377300,375000
urban,quebec,35,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",clerks,40 hours,54100,50300
urban,british columbia,85,female,widowed,foreign-born,naturalized citizen,23,university completed,"no, not in the labor force",niu (not in universe),0 hours,29700,0
urban,alberta,36,female,single/never married,foreign-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",niu (not in universe),0 hours,6800,0
urban,quebec,30,male,married/in union,foreign-born,not a citizen,niu (not in universe),university completed,"yes, in the labor force",professionals,37 hours,51900,50500
urban,ontario,28,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",professionals,40 hours,600,0
urban,ontario,30,male,married/in union,foreign-born,naturalized citizen,18,secondary completed,"yes, in the labor force",elementary occupations,50 hours,17600,17600
urban,ontario,16,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",niu (not in universe),0 hours,12000,0
rural,nova scotia,49,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,35 hours,62000,61200
urban,alberta,46,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,75000,72900
urban,ontario,46,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",technicians and associate professionals,40 hours,145701,143800
urban,quebec,18,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,4300,4300
urban,ontario,42,female,married/in union,foreign-born,naturalized citizen,5,university completed,"yes, in the labor force",plant and machine operators and assemblers,40 hours,31500,21900
urban,quebec,74,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,9400,0
urban,ontario,27,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",technicians and associate professionals,40 hours,54401,54200
rural,quebec,49,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,40 hours,58200,53800
urban,ontario,35,female,married/in union,foreign-born,naturalized citizen,28,secondary completed,"yes, in the labor force",clerks,24 hours,20700,19500
urban,quebec,29,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,30 hours,41801,41800
urban,ontario,38,male,married/in union,foreign-born,not a citizen,2,university completed,"no, not in the labor force",niu (not in universe),0 hours,2900,0
rural,quebec,78,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,22000,0
rural,ontario,20,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",elementary occupations,0 hours,600,0
urban,alberta,49,male,married/in union,foreign-born,naturalized citizen,33,university completed,"yes, in the labor force",professionals,40 hours,125700,124200
urban,ontario,35,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",elementary occupations,8 hours,21100,3200
urban,quebec,39,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",professionals,40 hours,56600,56600
unknown,yukon,22,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",plant and machine operators and assemblers,0 hours,47400,44500
rural,saskatchewan,18,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",service workers and shop and market sales,16 hours,9600,9600
urban,quebec,56,female,married/in union,foreign-born,naturalized citizen,18,university completed,"yes, in the labor force",professionals,9 hours,5900,5500
urban,alberta,38,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force","legislators, senior officials and managers",40 hours,102400,102400
urban,ontario,19,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,5000,0
rural,ontario,76,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,25000,200
rural,ontario,85,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,27100,0
urban,ontario,65,female,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",service workers and shop and market sales,28 hours,17000,15700
urban,british columbia,41,male,married/in union,foreign-born,not a citizen,8,university completed,"yes, in the labor force",service workers and shop and market sales,0 hours,4800,1900
urban,new brunswick,50,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,10100,0
urban,quebec,40,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,50300,48800
urban,alberta,47,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",plant and machine operators and assemblers,34 hours,54700,54700
urban,ontario,32,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",clerks,48 hours,74100,73400
urban,quebec,31,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,45 hours,75400,74400
urban,ontario,43,female,married/in union,foreign-born,naturalized citizen,18,university completed,"yes, in the labor force",technicians and associate professionals,2 hours,15601,1000
rural,quebec,48,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force","legislators, senior officials and managers",50 hours,14600,11000
urban,ontario,41,female,married/in union,foreign-born,naturalized citizen,38,secondary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,47300,43100
urban,manitoba,85,female,widowed,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,12800,0
urban,ontario,38,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,45 hours,35200,34500
urban,ontario,54,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",elementary occupations,35 hours,18000,16000
urban,nova scotia,61,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,5600,0
urban,quebec,59,male,married/in union,foreign-born,naturalized citizen,41,university completed,"yes, in the labor force",professionals,44 hours,90300,90300
rural,ontario,62,female,widowed,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,0 hours,49900,9500
urban,ontario,69,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",technicians and associate professionals,0 hours,77701,1
urban,nova scotia,57,male,married/in union,foreign-born,naturalized citizen,18,secondary completed,"no, not in the labor force",niu (not in universe),0 hours,10300,0
urban,quebec,36,male,married/in union,foreign-born,not a citizen,38,university completed,"yes, in the labor force","legislators, senior officials and managers",40 hours,68300,68300
urban,ontario,65,female,single/never married,foreign-born,naturalized citizen,41,less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,13100,0
urban,quebec,33,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,40 hours,60500,55600
urban,newfoundland and labrador,35,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,38 hours,47000,45700
urban,british columbia,24,male,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,40 hours,61600,61600
urban,ontario,67,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",professionals,0 hours,31200,0
urban,ontario,44,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,8401,0
rural,quebec,24,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,31300,30800
rural,quebec,19,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",service workers and shop and market sales,30 hours,4500,1200
urban,quebec,26,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",skilled agricultural and fishery workers,0 hours,27100,20500
rural,quebec,63,male,married/in union,foreign-born,naturalized citizen,33,university completed,"yes, in the labor force",skilled agricultural and fishery workers,15 hours,15100,12900
rural,nova scotia,68,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force","legislators, senior officials and managers",20 hours,55800,-300
urban,quebec,31,male,married/in union,foreign-born,naturalized citizen,18,secondary completed,"yes, in the labor force",crafts and related trades workers,40 hours,44100,44000
urban,newfoundland and labrador,51,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",technicians and associate professionals,40 hours,89900,89900
urban,saskatchewan,48,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force","legislators, senior officials and managers",40 hours,85900,82700
urban,quebec,53,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,50 hours,98300,98300
rural,alberta,52,female,married/in union,foreign-born,naturalized citizen,38,less than primary completed,"yes, in the labor force",clerks,40 hours,56300,55200
rural,newfoundland and labrador,44,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",clerks,40 hours,25000,25000
urban,ontario,27,female,married/in union,foreign-born,not a citizen,3,university completed,"yes, in the labor force",professionals,10 hours,65600,64200
rural,british columbia,24,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,0 hours,12800,12300
rural,saskatchewan,74,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force","legislators, senior officials and managers",40 hours,28600,5100
urban,ontario,28,female,married/in union,foreign-born,not a citizen,1,university completed,"no, not in the labor force",service workers and shop and market sales,0 hours,11800,0
urban,saskatchewan,21,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",clerks,50 hours,28700,28100
urban,alberta,39,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force","legislators, senior officials and managers",40 hours,58400,54700
rural,ontario,42,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",clerks,0 hours,44501,43700
urban,ontario,56,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",professionals,0 hours,86600,81800
urban,british columbia,32,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,0 hours,11300,0
urban,ontario,74,female,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,8100,0
rural,nova scotia,49,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,36 hours,61300,60300
rural,ontario,68,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,14800,0
urban,ontario,35,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",plant and machine operators and assemblers,60 hours,62800,62600
urban,alberta,30,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",technicians and associate professionals,20 hours,18200,1700
urban,british columbia,84,female,widowed,foreign-born,naturalized citizen,41,less than primary completed,"yes, in the labor force",niu (not in universe),0 hours,21700,0
urban,ontario,45,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force","legislators, senior officials and managers",50 hours,571700,570800
urban,newfoundland and labrador,40,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",technicians and associate professionals,50 hours,58800,58800
urban,ontario,31,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",clerks,38 hours,24800,21900
urban,british columbia,59,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,36 hours,108300,99700
